E(N) (Hartree),E(N+1) (Hartree),E(N-1) (Hartree),E-HOMO(N) (eV),E-HOMO(N+1) (eV),E-HOMO(N-1) (eV),Vertical IP (eV),Vertical EA (eV),Mulliken electronegativity (eV),Chemical potential (eV),Hardness (eV),Softness ( eV^-1),Electrophilicity index ( eV),Nucleophilicity index (eV),f-(max),f+(max),f0(max),CDD(min),S-(max),S+(max),S0(max),Electrophilicity(max),Nucleophilicity(max),Target_Log1o2,SMILES_Meta
-500.638405,-500.560326,-500.375837,-5.197238716,4.030768222,-11.11751118,7.144866475,-2.124637827,2.510114324,-2.510114324,9.269504302,0.107880649,0.339870214,3.923963531,0.1029,0.1174,0.0877,-0.0745,0.3022,0.3447,0.2574,0.03991,0.4039,7.397940009,CC1=CC(=CC(=C1O)C)OC
-800.566015,-800.479462,-800.266013,-6.013008864,4.309385606,-11.31871217,8.163470297,-2.355227114,2.904107986,-2.904107986,10.51869741,0.095068733,0.400905354,3.108193383,0.3583,0.159,0.2507,-0.2151,0.9269,0.4112,0.6486,0.06373,1.11366,7.602059991,CSCC[C@@H](C(=O)O)N
-652.892807,-652.826104,-652.625045,-5.566687707,3.471655869,-10.31425827,7.286175204,-1.815108308,2.735533448,-2.735533448,9.101283512,0.109874667,0.411109623,3.55451454,0.0875,0.0834,0.085,-0.0705,0.2617,0.2494,0.2543,0.03429,0.31111,6.041392685,CC(C)C1=CC=C(C=C1)NC(=O)N(C)C
-363.82601,-363.758354,-363.553537,-5.403745926,3.783743258,-11.20801625,7.414395256,-1.841040759,2.786663643,-2.786663643,9.255408804,0.108044845,0.419517942,3.717456321,0.1243,0.1157,0.1096,-0.0588,0.3654,0.3401,0.3222,0.04853,0.46202,7.633468456,C1=CC=C2C(=C1)C=CN2
-767.071038,-767.00956,-766.762328,-6.305177518,3.747851439,-12.32052656,8.400427048,-1.672928815,3.363762722,-3.363762722,10.07335586,0.099271826,0.561615801,2.816024728,0.1673,0.1384,0.1529,-0.0769,0.452,0.3738,0.4129,0.07772,0.47116,8.041392685,C1=CC(=CC(=C1)Cl)O
-345.341898,-345.210471,-345.07771,-5.055712296,5.321948499,-11.77793152,7.18892171,-3.57631086,1.80631903,-1.80631903,10.76523257,0.092891629,0.15154021,4.065489951,0.1333,0.0568,0.0814,-0.1038,0.337,0.1435,0.2057,0.0086,0.54195,8.447158031,C1CN2CCN1CC2
-552.409598,-552.372103,-552.125698,-5.831127959,2.847617148,-11.38725765,7.725312555,-1.020263716,3.35252442,-3.35252442,8.745603483,0.114343348,0.642569675,3.290074288,0.0977,0.1324,0.1068,-0.0448,0.3039,0.4118,0.3322,0.08505,0.32134,7.146128036,C1=CC=C2C(=C1)C(=CN2)C(=O)O
-1210.953056,-1210.908113,-1210.643872,-6.769893573,2.897631676,-10.78629418,8.413325245,-1.222961332,3.595195562,-3.595195562,9.636286577,0.103774537,0.670651825,2.351308674,0.1057,0.1081,0.0867,-0.0603,0.2984,0.3053,0.2449,0.07251,0.24844,5.51851394,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl
-716.467069,-716.504499,-716.10971,-7.723761506,0.863090749,-12.51663902,9.724206566,1.018549399,5.371391588,-5.371391588,8.705657168,0.114867687,1.657064577,1.397440741,0.1286,0.1041,0.0912,-0.0796,0.4019,0.3252,0.2849,0.17242,0.17967,5.60206,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O
-511.977563,-511.987331,-511.648234,-6.823663272,1.88109592,-12.30771,8.96147141,0.265800821,4.613636115,-4.613636115,8.695670589,0.11499958,1.223913731,2.297538975,0.1452,0.1683,0.1165,-0.1067,0.4543,0.5265,0.3645,0.20593,0.33358,6.447158031,C1=CC(=CC(=C1)O)[N+](=O)[O-]
-382.697618,-382.613356,-382.405055,-5.803236288,4.445279269,-11.98933678,7.961072006,-2.292885828,2.834093089,-2.834093089,10.25395783,0.097523403,0.391653482,3.317965959,0.1379,0.1547,0.1114,-0.0532,0.3661,0.4106,0.2955,0.06059,0.4577,7.301029996,C1=CC(=CC(=C1)O)O
-1686.249986,-1686.216651,-1685.934903,-6.672912192,2.805303442,-11.91428778,8.573845213,-0.907091561,3.833376826,-3.833376826,9.480936773,0.105474965,0.77498028,2.448290055,0.1908,0.1288,0.1581,-0.0654,0.5476,0.3698,0.4538,0.09984,0.46711,5.904779228,C1=C(C=C(C(=C1O)Cl)Cl)Cl
-8021.037387,-8021.015318,-8020.734894,-6.423410992,2.297076381,-11.55716554,8.23125386,-0.600528083,3.815362888,-3.815362888,8.831754731,0.113227675,0.824124044,2.697791255,0.2144,0.243,0.2065,-0.0627,0.6606,0.7487,0.6364,0.20026,0.57842,7.175219046,C1=C(C=C(C(=C1Br)O)Br)Br
-1154.672564,-1154.656679,-1154.386562,-6.067213946,2.024935307,-10.42922637,7.782538101,-0.432280082,3.675115404,-3.675115404,8.214790971,0.121731542,0.82208319,3.053988301,0.113,0.0997,0.0744,-0.0773,0.3744,0.3301,0.2464,0.08192,0.34522,8.664641976,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N
-422.002025,-421.915121,-421.721116,-5.550632989,4.456653628,-11.86775631,7.643923299,-2.36477831,2.639558889,-2.639558889,10.00872882,0.099912881,0.348060841,3.570569258,0.1206,0.139,0.098,-0.0677,0.3278,0.3778,0.2663,0.04836,0.4305,6.77815125,COC1=CC=CC=C1O
-232.254788,-232.171932,-231.923811,-6.710191791,4.452054904,-12.84823698,9.006315774,-2.254626619,3.375844578,-3.375844578,11.26094239,0.088802459,0.506022939,2.411010456,0.1643,0.1286,0.1464,-0.0359,0.3971,0.3108,0.3537,0.06508,0.39621,3.462397998,C1=CC=CC=C1
-1215.056221,-1215.030467,-1214.784624,-5.678417659,2.317403287,-9.455249224,7.39053087,-0.700802041,3.34487802,-3.34487802,8.091332912,0.123588963,0.69135969,3.442784588,0.0961,0.0857,0.0611,-0.0701,0.3232,0.2882,0.2054,0.05925,0.33089,8.477121255,CC1=C(OC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C
-766.424667,-766.398791,-766.135667,-6.273557888,2.482794092,-10.23409352,7.864090625,-0.704121831,3.579984397,-3.579984397,8.568239667,0.116710151,0.747904951,2.847644359,0.0827,0.1098,0.0706,-0.0671,0.2625,0.3486,0.2241,0.08209,0.23536,6.799340549,C1=CC=C(C=C1)CC2=C(C=CC(=C2)O)C(=O)O
-575.829621,-575.734598,-575.552578,-5.632947433,4.487375283,-10.58052168,7.53872408,-2.585707555,2.476508262,-2.476508262,10.12443163,0.098770896,0.30288994,3.488254814,0.1288,0.1242,0.1106,-0.0613,0.346,0.3338,0.2973,0.03761,0.44912,6.698970004,COC1=CC(=CC(=C1)OC)OC
-461.118732,-461.086337,-460.848292,-5.476101002,2.72162843,-11.03144156,7.359047296,-0.881485646,3.238780825,-3.238780825,8.240532942,0.12135126,0.636474324,3.645101245,0.1066,0.0959,0.0882,-0.0413,0.3521,0.3166,0.2912,0.06101,0.3887,5.698970004,C1=CC=C2C(=C1)C=CC=C2O
-888.936975,-888.882828,-888.684987,-5.361350587,2.915210231,-9.225176954,6.856942797,-1.473414931,2.691777539,-2.691777539,8.330357728,0.1200428,0.434892375,3.75985166,0.0715,0.0675,0.0498,-0.0548,0.2336,0.2206,0.1627,0.02937,0.26885,6.079181246,CC1=C(C(=C(C(=C1C(C)(C)C2=CC=C(C=C2)O)C)C)O)C
-382.694208,-382.619336,-382.413603,-5.452046137,4.18815888,-11.91918583,7.635651038,-2.037398122,2.799126458,-2.799126458,9.67304916,0.103380033,0.404987061,3.66915611,0.1226,0.1262,0.1022,-0.078,0.3449,0.3549,0.2876,0.0511,0.4498,7.579783597,C1=CC(=CC=C1O)O
-1085.37569,-1085.335549,-1085.089346,-6.270564635,2.574850212,-9.756833018,7.791817183,-1.092292255,3.34977607,-3.34977607,8.884109439,0.112560528,0.631521852,2.850637612,0.0872,0.0834,0.0642,-0.0756,0.267,0.2554,0.1965,0.05266,0.24853,8.0,C[C@@H](C(=O)O)NC(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)CN
-308.675018,-308.573295,-308.390593,-5.505979104,4.852388818,-12.44458327,7.739598533,-2.767996632,2.485787345,-2.485787345,10.50759516,0.095169168,0.29404624,3.615223142,0.1381,0.1145,0.1263,-0.0236,0.3576,0.2965,0.327,0.03366,0.49916,9.079181246,CC1=CC=C(O1)C
-577.848237,-577.792993,-577.567833,-5.890530415,3.105717146,-10.23205267,7.63020876,-1.503293033,3.063457864,-3.063457864,9.133474582,0.109487292,0.513750972,3.230671832,0.0857,0.0792,0.0714,-0.0532,0.2553,0.236,0.2128,0.0407,0.27685,7.639486489,C1=CC=C(C=C1)CC2=CC=CC=C2O
-500.194085,-500.112217,-499.966251,-4.469796728,4.111232291,-9.803881505,6.199706185,-2.227741769,1.985968602,-1.985968602,8.427447955,0.11866007,0.23399071,4.651405519,0.0926,0.1084,0.0784,-0.0808,0.2991,0.35,0.2531,0.02536,0.43083,9.51851394,CN(C)C1=CC=C(C=C1)N(C)C
